SMILES
O=C(N=c1sccn1-c1ccccc1Cl)c1c[nH]c2ncccc12
Cc1[nH]c2ncccc2c1C(=O)/N=c1\sccn1-c1ccccc1Cl
Cc1cnc2[nH]cc(C(=O)/N=c3\sccn3-c3ccccc3Cl)c2c1
O=C(/N=c1\sccn1-c1ccccc1Cl)c1n[nH]c2ncccc12
O=C(N=c1sccn1-c1ccccc1Cl)c1c[nH]c2nccnc12
COC(=O)c1cs/c(=N\C(=O)c2ccnc3[nH]ccc23)n1Cc1ccccc1
Cc1cs/c(=N\C(=O)c2c[nH]c3ncc(F)cc23)n1Cc1ccccc1
Cc1cs/c(=N\C(=O)c2ccnc3[nH]cnc23)n1Cc1ccccc1
CN(C)CCNC(=O)c1cs/c(=N\C(=O)c2c[nH]c3ncccc23)n1-c1ccccc1Cl
CCOCCNC(=O)c1cs/c(=N\C(=O)c2c[nH]c3ncccc23)n1-c1ccccc1C
CCOCCNC(=O)c1cs/c(=N\C(=O)c2c[nH]c3ncccc23)n1-c1ccccc1Cl
CCOCCOCCOCc1cs/c(=N\C(=O)c2c[nH]c3ncccc23)n1-c1ccccc1Cl
CNCCNC(=O)c1cs/c(=N\C(=O)c2ccnc3[nH]ccc23)n1Cc1ccccc1
Cc1ccccc1-n1ccs/c1=N\C(=O)c1ccnc2[nH]cnc12
CNC(=O)c1cs/c(=N\C(=O)c2ccnc3[nH]ccc23)n1Cc1ccccc1
O=C(/N=c1\scc(C(=O)Nc2nnc[nH]2)n1-c1ccccc1Cl)c1c[nH]c2ncccc12
Cn1ccc(NC(=O)c2cs/c(=N\C(=O)c3c[nH]c4ncccc34)n2-c2ccccc2Cl)cc1=O
O=C(/N=c1\scc(C(=O)NC2CCOCC2)n1-c1ccccc1Cl)c1c[nH]c2ncccc12
NCC1CCC(NC(=O)c2cs/c(=N\C(=O)c3c[nH]c4ncccc34)n2-c2ccccc2Cl)CC1
CN1CCC(N2CCS/C2=N\C(=O)c2c[nH]c3ncccc23)CC1
CC(=O)N1CCCC(N2CCS/C2=N\C(=O)c2c[nH]c3ncccc23)C1
CN1CCCC(N2CCS/C2=N\C(=O)c2c[nH]c3ncccc23)C1
O=C(/N=c1\sccn1Cc1ccccc1)c1ncnc2[nH]ccc12
CN1CCC(N2CCO/C2=N\C(=O)c2c[nH]c3ncccc23)CC1
